City,Country,Max Temperature,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
libreville,ga,26.15,88,3.1,20,9.45,0.39
kango,ga,23.49,97,0.57,100,10.1,0.19
ndjole,ga,23.1,98,1.13,100,10.76,-0.18
booue,ga,22.38,96,1.13,100,11.94,-0.09
makokou,ga,21.45,99,1.25,100,12.85,0.56
ewo,cg,22.56,91,3.09,100,14.81,-0.88
owando,cg,21.38,98,1.27,100,15.91,-0.49
mbandaka,cd,22.19,90,0.86,5,18.26,0.05
boende,cd,22.56,94,0.63,56,20.88,-0.28
basoko,cd,21.88,81,0.27,100,23.61,1.23
yangambi,cd,22.04,86,0.57,100,24.47,0.77
kisangani,cd,21.56,88,0.6,100,25.21,0.52
butembo,cd,16.55,97,1.02,100,29.29,0.12
kilembe,ug,18.19,93,0.86,100,30.01,0.2
lyantonde,ug,17.56,74,1.45,99,31.15,-0.41
lukaya,ug,19.15,93,4.1,90,31.87,-0.15
lugazi,ug,19.15,93,4.1,90,32.94,0.37
ahero,ke,18.43,92,2.8,97,34.92,-0.17
rongai,ke,11.86,95,1.6,100,35.86,-0.17
nanyuki,ke,15.62,88,2.88,79,37.07,0.01
maua,ke,11.85,96,1.53,100,37.94,0.23
garissa,ke,24.96,74,7.91,100,39.64,-0.46
jamame,so,26.27,80,3.75,94,42.75,0.07
mogadishu,so,26.43,78,3.9,42,45.34,2.04
hobyo,so,26.8,79,3.69,100,48.53,5.35
victoria,sc,27.15,78,3.6,20,55.45,-4.62
thinadhoo,mv,27.71,78,4.78,100,72.93,0.53
matara,lk,24.94,91,1.07,100,80.54,5.95
hambantota,lk,25.43,90,2.92,100,81.12,6.12
meulaboh,id,25.95,81,1.46,100,96.13,4.14
sibolga,id,26.33,80,1.37,100,98.78,1.74
payakumbuh,id,19.67,97,1.04,100,100.63,-0.23
sijunjung,id,19.32,97,0.78,100,100.95,-0.69
kijang,id,26.37,78,0.39,33,104.63,0.9
sungairaya,id,27.44,81,5.98,100,108.9,0.7
pontianak,id,27.4,77,2.92,100,109.34,-0.02
sri aman,my,24.15,100,0.47,100,111.46,1.24
kapit,my,22.45,99,0.77,99,112.94,2.02
loa janan,id,22.98,94,0.18,54,117.09,-0.58
bontang,id,22.99,93,0.2,24,117.47,0.12
palu,id,23.38,88,1.44,23,119.87,-0.9
poso,id,15.6,89,1.13,2,120.75,-1.4
gorontalo,id,22.81,90,1.31,62,123.06,0.54
tondano,id,22.15,94,1,20,124.91,1.3
sorong,id,23.44,93,0.35,58,131.25,-0.86
manokwari,id,23.3,80,2.27,100,134.08,-0.87
biak,id,15.62,91,1.3,44,122.88,-0.91
vanimo,pg,26.92,79,3.9,31,141.3,-2.67
aitape,pg,24.98,83,1.88,0,142.36,-3.15
lorengau,pg,27.3,82,5.76,100,147.27,-2.02
kavieng,pg,28.71,75,6.78,100,150.8,-2.57
namatanai,pg,26.5,82,7.59,100,152.44,-3.66
kieta,pg,27.7,79,4.79,100,155.63,-6.22
buala,sb,27.39,80,4.84,98,159.59,-8.15
